correct_answer;translation
temps;time
jour;day
an;year
site;site
jeu;Game
foi|fois;faith
monde;world
année;year
vie;life
chose;thing
homme;man
cas;case
ligne;line
pays;country
travail;job
enfant;child
service;service
France;France
question;question
femme;women
place;square
effet;effect
point;point
maison;House
casino;casino
moment;moment
groupe;group
besoin;need
entreprise;business
moi|mois;me
suite;after
web;web
lieu;location
partie;part
heure;hour
droit;law
part;go
prix;price
niveau;level
article;article
raison;reason
projet;project
problème;problem
système;system
produit;product
main;hand
information;information
nombre;number
histoire;history
recherche;research
fin;end
gens;people
exemple;example
nom;last name
ville;city
conseil;advice
eau;water
internet;Internet
société;society
rapport;report
façon;way
cour|cours;court | courses
œil;eye
famille;family
coup;stroke
joueur;player
semaine;week
idée;idea
page;page
argent;money
type;type
président;President
mesure;measured
dieu;God
marché;market
fille;girl
tête;head
côté;side
sujet;topic
compte;account
activité;activity
forme;form
face;face
programme;program
état;state
loi;law
action;action
membre;member
ami;friend
équipe;team
résultat;result
situation;situation
mot;word
qualité;quality
image;picture
affaire;case
centre;center
monsieur;gentleman
base;based
développement;development
pouvoir;power
santé;health
photo;Photo
tour;tower
étude;study
gouvernement;government
film;movie
livre;delivered
corps;body
cœur;heart
choix;choice
moyen;way
manière;way
aide;help
début;beginning
condition;condition
région;region
terre;Earth
titre;title
plan;plan
esprit;mind
cause;cause
air;air
carte;menu
million;million
terme;term
formation;training
fonction;function
cadre;frame
sens;meaning
client;customer
sécurité;security
valeur;value
traitement;treatment
solution;solution
euro;euro
vue;view
machine;machine
blog;blog
mort;death
Paris;Paris
risque;risk
organisation;organization
ministre;minister
salle;room
expérience;experience
lien;link
œuvre;artwork
association;association
genre;kind
journée;day
réponse;reply
sein;breast
nuit;night
couleur;color
vente;sale
texte;text
guerre;war
plupart;mostly
soir;evening
art;art
chef;chief
sorte;kind
père;dad
domaine;field
amour;love
doute;doubt
travers;through
but;goal
occasion;opportunity
retour;return
pied;foot
minute;minute
message;message
mode;fashion
objet;object
application;application
espace;space
plaisir;pleasure
chance;luck
réseau;network
période;period
intérêt;interest
version;version
voyage;trip
demande;request
auteur;author
chambre;bedroom
état;state
gestion;management
relation;relationship
source;source
utilisation;use
école;school
ordre;order
création;creation
élément;element
matière;material
mouvement;movement
Europe;Europe
