correct_answer;translation
être;to be
avoir;to have
faire;make
pouvoir;power
aller;go
devoir;duty
dire;say
voir;see
prendre;to take
savoir;know
mettre;to put
vouloir;want to
trouver;find
donner;give
venir;come
passer;pass
falloir;have to
permettre;to permit
utiliser;use
penser;think
comprendre;understand
rester;stay
connaître;know
partir;go
jouer;to play
aimer;like
demander;request
parler;speak
arriver;arrive
devenir;to become
laisser;let
rendre;return
commencer;to start
offrir;to offer
tenir;hold
proposer;to propose
attendre;wait
croire;believe
suivre;to follow
sembler;appear
obtenir;get
vivre;live
créer;create
agir;to act
présenter;present
sortir;exit
regarder;watch
aider;help
concerner;concern
porter;carry
choisir;to choose
retrouver;find
perdre;to lose
entendre;hear
écrire;to write
montrer;to show
appeler;call
répondre;reply
recevoir;to receive
chercher;search
continuer;Continue
découvrir;discover
gagner;to win
travailler;to work
lire;read
décider;decide
changer;switch
réaliser;achieve
poser;to pose
assurer;ensure
sentir;feel
revenir;come back
compter;count
exister;to exist
finir;finish
acheter;buy
apprendre;learn
souhaiter;wish
ajouter;add
expliquer;explain
servir;to serve
ouvrir;to open
produire;produce
oublier;forget
considérer;consider
lancer;launch
fournir;provide
annoncer;announce
arrêter;Stop
importer;import
prévoir;provide
développer;develop
garder;keep
atteindre;reach
organiser;organize
rencontrer;meet
tomber;fall
reconnaître;recognize
apporter;to bring
reprendre;resume
rappeler;call back
profiter;enjoy
envoyer;to send
éviter;to avoid
représenter;represent
espérer;hope
tourner;turn
situer;locate
installer;install
entrer;enter
lier;bind
tenter;try
participer;participate
mener;lead
indiquer;indicate
augmenter;increase
accepter;accept
constituer;constitute
placer;to place
élever;raise
apparaître;appear
effectuer;carry out
déclarer;to declare
partager;share
réduire;reduce
réussir;succeed
construire;to build
occuper;to occupy
tirer;shoot
publier;publish
mourir;pass away
remettre;reset
vendre;sale
préparer;to prepare
monter;ascend
naître;be born
préférer;prefer
établir;establish
quitter;to leave
manquer;to lack
manger;eat
posséder;own
contenir;contain
engager;to hire
associer;associate
toucher;to touch
intéresser;to interest
améliorer;improve
paraître;look
accompagner;to accompany
disposer;dispose
traiter;treat
conduire;drive
soutenir;support
inscrire;to register
valoir;to be worth
imposer;impose
terminer;finish
suffire;suffice
empêcher;avoid
viser;to aim
adapter;adapt
noter;to note
former;form
protéger;protect
charger;load
marquer;to mark
battre;beat
avancer;moving forward
tuer;kill
appliquer;apply
fonctionner;function
rentrer;return
composer;compose
rejoindre;rejoin
inviter;invite
poursuivre;to pursue
cacher;hide
affirmer;to affirm
rechercher;search
retourner;return
refuser;refuse
diriger;lead
respecter;respect
estimer;to estimate
relever;raise
limiter;limit
imaginer;imagine
exprimer;Express
fixer;to stare
confirmer;to confirm
révéler;reveal
signifier;mean
lever;raise
maintenir;maintain
observer;watch
gérer;manage
baser;base
pousser;push
intégrer;to integrate
