correct_answer;translation
autre;other
nouveau;new
grand;tall
bon;Well
petit;small
même;even
dernier;latest
seul;alone
beau;beautiful
jeune;young
meilleur;better
français;French
différent;different
nombreux;numerous
important;important
juste;fair
vrai;TRUE
politique;Politics
propre;clean
social;social
possible;possible
général;general
national;national
simple;simple
plein;full
gratuit;free
gros;large
fort;strong
haut;high
ancien;former
international;international
principal;main
présent;present
sûr;sure
prochain;next
difficile;difficult
européen;European
humain;human
nécessaire;necessary
réel;real
facile;easy
économique;economic
actuel;current
disponible;available
particulier;particular
blanc;White
local;local
noir;black
américain;American
professionnel;professional
mauvais;bad
financier;financial
public;public
responsable;responsible
libre;free
certain;certain
mondial;global
long;long
unique;unique
technique;technical
personnel;staff
publique;public
divers;various
longue;long
véritable;TRUE
prêt;ready
étranger;foreign
naturel;natural
internet;Internet
vieux;old
supérieur;superior
rapide;fast
chaud;hot
entier;full
dur;hard
suivant;next
capable;able
proche;close
moyen;way
rouge;red
complet;full
gauche;left
efficace;effective
excellent;excellent
joli;pretty
commun;common
droit;law
total;total
normal;normal
large;large
spécial;special
populaire;popular
heureux;happy
final;final
super;Great
faible;low
fin;end
commercial;commercial
supplémentaire;additional
militaire;military
court;short
physique;physical
utile;useful
frais;fresh
clair;clear
vidéo;video
officiel;official
bas;low
futur;future
essentiel;essential
traditionnel;traditional
grave;serious
magnifique;magnificent
intéressant;interesting
direct;direct
énorme;huge
relatif;relative
pire;worst
anglais;English
culturel;cultural
régional;regional
vert;green
civil;civil
rare;rare
récent;recent
précis;specific
scientifique;scientist
puissant;powerful
léger;lightweight
riche;rich
doux;soft
central;central
profond;deep
électrique;electric
précédent;previous
faux;FALSE
spécifique;specific
cher;expensive
net;net
moderne;modern
impossible;impossible
nul;no
original;original
pratique;convenient
classique;classical
actif;active
médical;medical
froid;cold
historique;historical
lourd;heavy
moindre;lesser
bleu;blue
neuf;new
double;double
agréable;pleasant
positif;positive
majeur;major
collectif;collective
conséquent;consequent
scolaire;school
numérique;digital
parfait;perfect
quotidien;daily
familial;family
idéal;ideal
pur;pure
intérieur;inside
matériel;equipment
individuel;individual
célèbre;popular
sportif;athletic
extérieur;outside
sérieux;serious
portable;portable
exceptionnel;exceptional
présidentiel;presidential
privé;private
dangereux;dangerous
religieux;religious
issu;from
allemand;German
évident;obvious
âgé;age
durable;durable
africain;African
indépendant;independent
alimentaire;alimentary
global;global
virtuel;virtual
mobile;mobile
superbe;superb
pauvre;poor
administratif;administrative
fameux;famous
vif;bright
content;happy
industriel;industrial
électronique;electronic
objectif;goal
fondamental;fundamental
